raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,location_quick_features:mean_abs_lat_deriv,location_quick_features:mean_abs_long_deriv
1.002596,0.494191,,-0.833036,0.066575,0.017023,-0.007693,0.011113,304.437625,-200.844431,,-223.730892,4.4e-05,1.6e-05
1.00584,0.353257,,,,,1.5e-05,,298.663796,-206.014236,45.214304,-211.452898,0.0,1e-06
1.003935,0.352139,-0.510176,,0.047251,,0.00075,0.005081,,-205.498092,45.691542,-211.986887,1e-06,6e-06
1.024907,0.234249,-0.32412,-0.718882,0.235443,-0.074105,0.008969,,,-211.811569,52.197238,-213.103541,0.0,0.0
0.991584,,,-0.000477,0.163083,-0.001619,-0.007992,-0.002979,305.110664,,,,,
1.140908,0.137215,0.999574,-0.077048,2.321262,0.035378,,,,,106.830636,-200.756483,,0.003683
1.008502,-0.028241,,-0.725249,0.134143,,-0.010385,-0.01435,276.504627,-183.08437,43.764687,,1.2e-05,0.00013
1.007606,0.056561,,-0.635396,0.04719,-0.001463,0.000645,-1e-06,,,44.759874,-194.672299,1e-06,
,-0.036859,-0.688714,-0.70888,0.098516,-0.030628,-0.000113,0.018654,,,44.596815,,1e-06,
,-0.083327,,-0.875258,0.19083,,,,301.895106,-206.858522,56.170526,-212.450564,0.0,1e-06
,,0.492709,,0.48084,-0.016019,-0.03369,,302.789087,-200.921905,102.937705,-201.709633,0.000133,
0.994957,,,,0.35357,,-0.023706,-0.002394,301.445295,,103.189859,,0.000308,
0.997146,0.012915,0.230437,-0.969606,0.028692,0.0006,0.001901,0.002961,337.831375,-221.356898,,-246.16528,,0.00041
,0.016078,,-0.962478,0.02691,-0.001949,-0.001079,0.000572,,-221.914033,71.515461,-238.506381,3.6e-05,
0.996513,0.007482,0.239277,-0.967322,0.008176,0.00021,-7.2e-05,,327.172995,-221.22813,66.547412,-231.669163,4.3e-05,
0.998718,0.033388,0.13674,-0.988688,,0.000104,-0.000454,,301.538304,-208.197491,58.461652,-210.142577,,2.9e-05
0.997815,0.034959,0.178655,,0.022995,,-0.00023,-8e-05,308.458896,-210.192102,,-216.475969,2e-05,
0.996791,0.030196,,-0.978724,0.043183,-0.001213,-0.000701,-0.000645,,-211.404234,65.044934,-219.596277,,3.8e-05
,0.030908,0.204511,-0.975168,0.010124,0.000543,,,316.30439,-212.80544,,-223.312147,4e-05,2.2e-05
0.999004,0.010869,0.132146,,0.031423,,0.000558,0.001195,,-203.84214,63.80953,-204.158242,2.3e-05,8.6e-05
1.000231,0.010767,,-0.990391,,,0.000172,0.000123,296.405604,-204.587275,64.595618,,1.1e-05,
1.003409,0.006143,0.131247,-0.992879,0.208828,0.000382,,0.000423,,-204.831935,,-204.479842,0.000123,3.9e-05
1.003521,0.021972,0.164721,-0.985384,,,,0.002318,302.671249,-207.310067,,-209.872358,,
0.997624,,,,0.033455,-0.001186,,-0.003882,,-213.926791,69.649352,-222.741963,,
,,0.132949,,,-0.000193,-0.001268,-0.004918,299.509801,-206.875477,64.524427,-206.738529,5.4e-05,
0.999933,,,-0.991694,,2.8e-05,,,,,63.685904,,8e-06,5e-05
,-0.02967,0.306669,-0.945628,0.061763,,,-0.008817,303.629011,,79.827797,-204.277438,,5.4e-05
0.998518,-0.012406,,-0.958879,0.160329,,-0.00208,-0.004651,,-208.897558,,-205.031096,2e-05,
0.996821,-0.014465,0.2703,-0.958969,0.063379,0.001131,,0.002662,303.290702,-208.793471,78.765042,,,
0.997191,-0.01956,,-0.95661,,0.001587,-0.000669,-0.002397,302.449391,-208.067865,78.308267,-205.039418,4.2e-05,
0.997739,-0.025553,,-0.964481,0.066676,0.001409,0.00126,-0.009278,,,,-204.346085,,3.5e-05
,0.001866,0.241116,-0.962304,,,-0.002827,-0.006688,,,79.491664,,,6.6e-05
0.999343,0.063709,0.186383,-0.977989,0.089819,0.005167,0.002627,-0.012303,303.0993,-209.997662,76.924938,-204.521446,3.5e-05,8.1e-05
0.998229,0.040105,,-0.973071,0.127042,0.000883,0.00137,,,-223.388852,76.095154,,8.9e-05,9e-05
,,0.204652,-0.974839,0.082474,0.00016,0.000374,,,-218.326352,,-225.407121,7.3e-05,0.000204
0.999595,0.033885,,-0.982148,0.114249,0.002004,0.000425,-0.003233,309.685252,-210.896675,75.27283,-213.864687,8.3e-05,5.2e-05
1.040804,0.179555,0.331771,,,0.027896,,-0.007302,,-200.043066,85.468753,-201.137368,6.5e-05,0.000142
1.001598,0.1211,,,0.310793,0.003161,-0.00446,0.00345,302.581628,-206.314479,68.305242,-210.525751,4.2e-05,0.00015
0.999675,0.125198,,-0.982876,0.266252,,-0.002392,-0.004866,301.50999,,,-209.424282,4.9e-05,0.000207
1.001283,,0.11293,-0.985195,0.12276,,,,,-206.572014,68.419062,,3.6e-05,
1.001529,0.119327,0.104797,-0.986448,0.46031,,-0.002526,,,,74.872112,-208.532706,5.6e-05,
1.006813,0.110102,,-0.989337,0.539386,-0.002585,-0.007009,-0.014402,304.687182,-207.935878,,,0.000213,0.001344
1.003492,0.119721,0.113398,-0.986378,0.421559,-0.000838,,,304.649917,-208.041468,,-209.584042,,0.000228
1.000583,0.125669,0.113938,-0.98482,0.190145,0.000828,-0.00133,0.005659,,-207.997472,,-209.776461,4e-05,0.000134
0.999189,0.097174,,-0.974177,0.182985,0.003959,0.001521,,335.497213,,87.074183,,,0.000359
,,0.211378,-0.964184,,,,,329.377966,-215.766452,,-233.043138,4.2e-05,0.000127
,0.123275,0.232007,-0.961681,0.064095,,,-0.003603,351.807285,-228.386323,78.946218,,0.000106,
0.99787,0.126026,0.235897,-0.961109,0.032268,0.001625,0.001092,0.005571,356.59074,-228.176432,84.99322,,,
,0.117581,0.197641,-0.968028,,0.001857,0.000253,0.006756,,-211.952355,,-232.976572,,
,,0.108759,-0.984317,,0.001324,,,308.462543,,68.052022,-216.199717,7.2e-05,0.000101
1.002328,,,-0.984481,0.378129,0.002928,-0.00222,-0.025391,303.646735,,,-209.514562,,
,0.066609,0.327266,,0.315796,,0.001334,-0.004235,305.800119,-208.830169,,,,3.1e-05
0.99833,,,-0.93613,,,,0.014875,308.124613,,79.178336,,5.9e-05,6.4e-05
0.996023,0.092329,,-0.912087,0.042592,,3e-06,-0.000725,,-204.979588,,-213.705967,2.2e-05,9.8e-05
0.995421,0.110286,0.36277,,0.057492,0.001688,0.000394,-0.001986,,-205.586727,80.288197,,4e-05,
,0.072707,0.219927,-0.966593,0.356238,0.000542,0.004824,-0.023288,302.841547,-207.82943,,-203.862229,0.000394,0.0041
1.001403,,0.318148,-0.941664,0.194617,,-0.005707,0.008378,316.888843,-212.689335,91.442859,-216.26254,0.000129,0.001352
,-0.057149,0.277844,,,,0.007783,,309.349524,,94.994541,-208.76236,3.3e-05,5.2e-05
0.997062,-0.069693,,,0.05122,,,-0.004502,313.105444,-209.230208,97.056745,,3.6e-05,4.5e-05
0.996487,,0.26173,,0.023958,-0.000116,,0.001472,,-210.594071,,-215.631613,2e-06,
,,0.372676,-0.915116,0.303563,-0.000902,,-0.00643,308.21511,-210.875214,78.800851,-210.507237,,0.003511
,-0.180604,,-0.91301,,,0.00344,,,-211.142621,76.49715,-209.959727,1.6e-05,
1.009305,0.023534,0.150293,,0.636001,-0.002203,,0.014125,,,86.408522,,0.0001,0.000714
,-0.002649,0.1431,-0.986569,0.628893,-0.001264,-0.004924,-0.001365,,-206.027756,,-203.575785,0.000103,0.000481
1.000595,-0.014287,0.13771,-0.988484,,,,-0.009087,298.675118,-205.131319,74.577968,-203.85266,6e-05,
0.999441,,0.230972,,,0.002847,,0.012639,321.613339,-218.592472,75.59788,-222.669988,,0.000131
0.998338,-0.072144,,,0.1389,0.005379,-0.003515,,302.336743,-209.886493,81.305551,-201.637035,1.7e-05,
,0.066306,0.263316,-0.958064,0.181434,-0.002258,,,,-209.6751,90.971589,-213.278069,9.7e-05,
,0.000533,0.143133,-0.987147,,-0.004272,-0.006664,,305.310359,,,-205.34812,8.2e-05,0.000542
,-0.092363,0.199355,-0.971248,,3.4e-05,-0.000487,-0.010722,306.970203,-210.488482,,-204.407659,6.2e-05,
0.9966,,,-0.960547,0.025642,-0.000179,-0.001014,-0.000533,303.070623,-208.235478,,,0.000102,0.000584
,-0.007132,0.223656,-0.974138,0.074937,,-0.000775,,303.133567,-208.117226,81.07663,,0.000137,0.00013
0.996383,,0.30692,-0.946334,0.014014,-5.9e-05,,,308.258149,-209.319058,79.628078,-211.817974,2.4e-05,0.000156
0.996908,,0.308954,,,0.00142,-0.000947,,308.098804,,79.584596,,,4.4e-05
1.003544,-0.04461,0.240831,-0.968199,0.244223,0.002505,-0.007933,0.000524,,-209.998736,78.486245,-208.409142,,6.4e-05
1.004903,-0.107502,0.193502,-0.970884,,-0.001601,-0.001031,-0.001449,304.998623,-210.652017,79.49145,-205.648709,4.1e-05,0.000109
1.00774,0.022191,,-1.007147,,0.000169,,0.000506,,,,-199.278498,,
1.00697,0.022106,-0.026352,-1.00638,0.006001,-0.000322,0.000146,0.000427,294.784842,,,-199.467797,,
1.005748,0.020663,-0.025349,,,8.5e-05,,-0.000129,294.77077,-199.570704,85.442537,-199.39811,1.6e-05,
1.003551,,-0.025428,-1.002936,,0.000374,0.00067,0.000169,,-199.847555,,,,3.5e-05
1.002902,0.025005,-0.02504,-1.002275,,,,-1.3e-05,294.625351,-200.229565,,-198.19159,2.3e-05,
1.005859,0.02501,-0.025445,-1.005224,0.004727,-3.3e-05,4.5e-05,0.000483,294.957508,-200.152949,86.200277,-198.763023,,2.9e-05
,0.023858,-0.024883,-1.002682,0.004581,-0.000185,4.5e-05,0.000305,294.588047,,85.988835,,,3.3e-05
1.005571,,-0.027052,,0.020374,0.000497,0.00225,0.000441,295.074466,-200.251027,85.847944,-198.989973,2.2e-05,5.1e-05
,0.055922,-0.026624,,,-0.000196,0.000236,-1.4e-05,294.848061,,85.828121,-198.590366,4.2e-05,6e-05
,0.055637,,-1.001721,0.004846,,,,295.014893,-200.457913,,,2.2e-05,5.9e-05
1.00301,,-0.023587,-1.002369,0.0061,,0.000101,0.000484,294.838346,,,-197.964015,2.1e-05,3.8e-05
1.003306,-0.026573,-0.005555,-1.000614,0.019836,-5e-06,-0.000443,-0.00024,294.47106,-201.001956,,-197.044773,,
1.00313,0.028864,-0.025442,-1.002387,0.005546,-0.000264,,,294.829801,-200.724462,86.217116,,2.1e-05,6.2e-05
1.002795,,,-1.002267,0.008822,1e-05,-0.000723,-0.000281,294.702865,,,-197.784702,2.3e-05,4.8e-05
1.003205,,-0.024778,-1.002369,0.004654,,,,294.625647,,86.04404,-197.820482,3.2e-05,3.3e-05
1.005813,0.030789,-0.024458,-1.005029,,,,,295.111129,-200.498904,,-198.558747,1.6e-05,4.2e-05
,0.034532,,,,,,-0.000204,294.921276,-200.669522,86.72057,,1.6e-05,3.3e-05
,0.034572,-0.024732,-1.001939,,,,0.000242,294.95369,,,-197.952575,,
1.004692,0.044292,-0.026282,-1.003195,,0.00023,,,295.221232,-200.648275,86.805616,-198.391082,,3.3e-05
1.003326,0.053403,,-1.001538,0.004543,0.000225,0.000494,0.000417,295.004422,-200.608357,86.5946,,6e-06,4.5e-05
1.004499,0.058044,-0.027388,,0.0046,,-0.000278,,294.929046,-200.493539,,,,
1.006949,0.038694,-0.026521,,0.004712,0.000288,2e-06,,285.031112,,87.270279,-191.611278,2.6e-05,5.6e-05
,,-0.026283,-1.002726,0.00505,6e-06,1.9e-05,0.00011,284.948982,-192.159484,87.127043,-191.516004,,4.5e-05
,,-0.026195,-1.002188,0.004536,-4e-05,4.6e-05,,285.008255,-192.245543,87.200153,-191.484593,1e-05,2.8e-05
1.009513,0.024957,-0.033078,-1.001745,0.06564,-0.020584,-0.004468,0.021891,286.77534,-196.312668,,-190.977232,0.000158,0.000426
,0.017799,-0.03236,-1.003075,0.004708,9.2e-05,0.000204,-0.000248,286.858647,-196.13411,85.314861,,,3.6e-05
1.000225,0.017828,-0.030774,-0.999589,0.004555,,-0.000328,-0.000184,,,85.461081,,5e-06,4.1e-05
1.00017,,-0.030665,,0.004528,0.000119,5.6e-05,0.000272,,,85.267755,-190.07255,1.1e-05,4.4e-05
,0.623904,0.759904,-0.069165,,,,-0.046249,,-193.831316,,,,
1.137665,0.52422,0.867809,-0.064734,1.929789,-0.126618,-0.181623,-0.078134,276.95777,-162.399139,105.792394,,9.7e-05,0.000908
,0.217506,1.025284,,,0.03865,,,284.276544,-160.422342,111.337859,,,0.000115
1.265043,,1.025134,-0.052337,3.221316,0.028821,-0.04557,-0.167758,313.874024,-196.143124,117.553461,,,
,0.057791,1.035292,,3.341101,,,,,-182.94015,116.153933,-213.712209,6.3e-05,
1.257675,0.066914,,-0.030805,3.21468,0.051103,,-0.179764,,-180.982025,,-210.891034,,7.2e-05
1.251491,0.05645,1.024536,-0.018931,3.241298,0.025545,-0.032456,-0.189032,307.975953,-187.075952,,-213.500236,,0.000142
1.030347,0.15694,0.321968,-0.568598,,0.094995,-0.064853,-0.023566,269.077555,-156.681427,80.830658,-200.652265,0.000233,0.000189
1.018255,-0.034611,-0.050098,-0.994853,0.362764,-0.003195,-0.020317,,290.117365,,56.601085,-219.539487,0.001381,0.000897
1.006238,,,-0.994836,,0.003874,0.004704,-0.024142,,-192.241895,,-221.169744,0.001635,0.001205
,,-0.038989,-0.998138,0.093837,-2.7e-05,0.000601,,307.833308,-202.952571,80.081443,-217.155156,,0.000159
1.009924,,-0.1742,-0.986259,,0.002877,,0.001781,,-200.726179,78.048014,,,0.000154
1.006018,,-0.076723,,0.232171,,0.001052,,306.276339,,68.799532,-219.746675,,
,-0.071297,,,0.181118,0.0023,0.003421,0.038525,,-205.306658,76.185315,-216.994772,0.00014,
1.003494,0.016441,,-0.995354,0.111162,-0.000521,-0.000712,-0.006666,,-198.414156,81.629962,,0.000892,
,-0.009781,0.0194,,0.133772,,0.003619,,300.012781,,51.540744,-219.617079,,
,-0.028809,-0.115974,-0.989875,0.152867,,-0.003061,-0.000746,300.752628,-197.427367,52.728829,-220.658013,0.00016,0.000137
,-0.052566,,-0.994171,0.144205,-0.004102,-0.003386,-0.029245,300.093795,-197.701856,49.591507,-220.23594,0.00053,0.000364
,,,-0.982112,,0.000657,0.005794,,303.782408,,69.742923,-220.17603,5.6e-05,0.000127
,,-0.118414,,0.268165,,,-0.086578,291.03354,-183.605235,50.01695,,7.3e-05,
,,,,,,0.031262,,271.713633,,,-204.512917,,7.4e-05
,0.026669,0.59239,,0.142465,,,,282.564214,,114.317452,,,
,-0.041336,0.658659,0.738542,0.017374,-0.001032,-0.004449,,250.184557,-166.688818,101.406238,,0.000112,
1.026192,,-0.018417,0.290723,1.066716,,,0.043299,271.174721,-183.642364,84.77986,-177.31694,,
,-0.022348,-0.568891,-0.83951,0.101943,-0.006633,0.001469,-0.004655,344.061819,-229.048188,65.859798,-248.13981,6e-05,
1.014298,,-0.543218,-0.855668,0.066362,-0.00045,0.00049,-0.001301,346.911647,-230.359257,65.783704,,0.000169,
1.013008,0.070473,-0.549779,-0.844122,0.16669,,,-0.000751,345.216466,-229.885178,65.776243,-248.98895,5.2e-05,0.000457
,0.011511,-0.558288,-0.840077,0.09959,,-0.002875,-0.005401,343.535288,,65.780933,-246.263466,5.2e-05,
1.011657,,,-0.894159,0.073631,,,0.001026,347.272546,-237.40907,,-243.56336,4.5e-05,0.000558
1.021921,,-0.256593,,0.458664,-0.03526,,0.065837,306.999634,-162.044599,,,4.9e-05,
,-0.009036,,-0.999767,,,,-0.000552,255.224121,,93.127152,,1.5e-05,0.000103
1.014502,,0.006682,,0.29778,0.028357,,-0.052446,311.648715,-196.82731,90.567248,,1.5e-05,5.6e-05
,0.01124,-0.029022,-0.999588,,-0.00197,0.000648,,,-202.020937,89.431597,-226.053233,3.7e-05,5.5e-05
,-0.110061,,-0.971875,0.372983,-0.017358,-0.007066,,304.378796,-180.472319,99.287763,,,
,-0.173943,0.130463,,0.032487,-0.000289,2.1e-05,0.000839,,-187.789324,106.189914,,,5.5e-05
,-0.176122,0.14769,-0.979978,0.011229,0.000485,-4.5e-05,4.3e-05,,-188.835562,106.889679,-222.305952,,5.3e-05
1.003646,-0.174891,0.151255,-0.976554,0.022028,,0.000161,,310.372819,,107.009894,,3.6e-05,3.5e-05
,-0.144107,-0.523131,-0.681937,0.556701,0.049568,-0.012262,,305.691635,-187.600251,78.00986,,2.3e-05,4.6e-05
,,,-0.781654,0.087996,0.004386,-0.005181,-0.005211,,-158.7827,,-214.026944,0.00012,
1.012365,0.215292,-0.605932,-0.780621,,-0.005687,-0.001468,,272.014785,-158.758234,53.272569,-214.354368,,0.000104
,-0.10302,,-0.921949,0.010593,-0.000489,0.000382,,,,57.511012,-233.479149,,1e-06
,0.015491,-0.102839,,0.016503,0.00067,,0.000339,311.879107,-177.674627,,-245.628171,0.000134,
1.007203,,,-1.001872,,-0.000322,-3.6e-05,-0.000244,311.751467,-177.741157,,-245.341518,2e-06,3e-06
1.002295,0.586166,-0.622802,0.508798,0.194067,0.004175,-0.0016,,238.535796,-171.019488,59.956031,-155.066027,8.1e-05,0.002365
,-0.064499,-0.03858,-1.01682,0.016631,,-0.001655,,288.878608,-199.146844,,,7e-05,6.8e-05
1.083264,-0.138314,0.959265,,1.654135,0.09251,-0.123971,0.045214,292.492983,-197.284649,100.439614,,0.001005,0.007166
1.01469,-0.227069,0.955052,0.047178,0.669692,0.046017,,,274.300389,-172.893271,125.862814,,,1.4e-05
1.035043,-0.122151,0.947337,0.219339,0.927333,0.01186,,0.021262,291.090176,,122.220972,,8e-06,8e-06
0.995611,-0.197941,0.876595,0.326598,,-0.020315,0.010085,,266.175561,-195.465592,98.035733,,1e-06,
,0.055287,0.6943,0.664643,0.071512,-0.032431,-0.011494,0.022549,239.225752,-154.320902,,-156.951525,1e-06,
0.995978,,0.615532,0.7796,0.05209,-0.003486,0.004216,-0.00024,,,,,1e-06,2e-06
0.995429,0.399056,-0.127948,0.902713,0.020839,0.001878,0.000811,-0.000617,,-145.75249,67.586934,-175.780917,,
0.996004,0.380075,,0.907239,,-0.002493,0.002489,2.1e-05,237.729002,-144.778577,67.060033,,0.0,4e-06
0.995468,,-0.148819,,0.028753,,,-5.2e-05,238.758057,-145.495599,,-177.692418,0.0,5e-06
0.992175,0.404649,-0.127833,0.896502,0.029508,0.001168,,0.002121,237.477171,,65.143408,-176.372943,,5e-06
0.998919,,-0.113222,0.901863,0.019126,9.1e-05,,-0.000739,,,65.134669,-175.856429,1e-06,5e-06
0.997026,0.346371,-0.151046,0.911788,0.047526,-0.002368,0.007731,-0.001341,238.230254,,77.536246,,,2e-06
,-0.289041,,,0.036672,-0.001102,0.001257,-0.001607,255.743422,-168.053969,114.853945,-154.819314,1e-06,3e-06
0.991033,-0.196913,0.869306,,0.06651,,0.002671,,,,102.219184,,0.0,4e-06
,,-0.434166,0.89855,0.038513,,-0.000301,,,-161.331441,57.39101,,2e-06,
0.997219,,,0.875246,0.027576,,,-0.008606,,-160.306665,56.929119,-177.897318,2e-06,
,0.082128,-0.446134,,,0.001763,-0.000984,,245.675156,,55.779187,-177.141164,2e-06,2e-06
,0.096514,-0.45933,0.882047,0.018843,-0.001142,,-0.001538,245.87522,-160.9299,54.889722,-177.600681,1e-06,3e-06
0.997775,0.175618,-0.349955,,0.018785,0.000201,-0.002322,,,,57.908533,-176.635257,1e-06,1e-06
,0.114387,-0.439163,,0.030912,0.000693,0.003433,-0.000917,251.795907,,47.283756,-180.570797,,1e-06
,,-0.331235,0.936689,0.049735,-0.004147,0.00276,,,,,,,2e-06
0.997661,-0.024795,-0.502413,0.860307,,0.000683,0.001169,,252.090069,-169.273827,52.424668,,,
,,0.533244,,0.88912,0.054006,-0.229536,,,-203.54297,90.999512,-182.560721,5e-06,1.1e-05
0.995931,0.2142,0.114506,,,0.00082,0.000927,,255.281426,,54.071447,-159.630829,1e-06,4e-06
0.999971,0.192348,,0.952301,0.167619,,0.02693,-0.026568,255.421826,-183.139311,48.531523,-171.289338,0.0,
,0.23676,,,,0.000943,0.000473,0.002751,250.348782,,60.457567,-181.045084,1e-06,6e-06
,0.209455,-0.260317,,0.107638,0.002244,,-0.015116,,-173.212186,,-175.937764,2e-06,
0.999396,,,0.944153,,,,,,,53.681813,-167.350886,,3e-06
0.999806,,-0.334293,,0.204446,,0.005679,,249.630421,-169.697259,48.837177,,,8e-06
,0.048319,0.601736,,0.108129,0.045854,,0.021246,247.757763,-187.478351,,-144.928147,1e-06,
,0.044714,-0.295884,,0.064916,,-0.001412,,,-185.962756,,,1e-06,6e-06
,0.088397,,0.938392,,-1.2e-05,0.002852,,251.011521,,46.654757,-175.947957,1e-06,5e-06
1.000642,,-0.412987,,0.092848,,0.006273,-0.013488,250.952552,-169.546815,48.732095,,,2e-06
0.998615,0.146271,-0.458683,0.874784,0.030019,-0.001589,0.003396,,248.510767,-162.972799,,-180.065932,2e-06,6e-06
0.998858,0.157405,-0.416982,0.890757,,-0.003219,-0.007305,,,,,-179.851878,2e-06,4e-06
,,-0.438869,0.882982,,0.00627,,0.007739,248.320433,-164.127845,,-179.356582,1e-06,
0.999523,0.113965,-0.10574,,0.168416,-0.00021,0.004016,-0.012364,246.496459,-175.428491,,-164.875441,1e-06,
1.006485,-0.082066,0.676434,,,0.034838,-0.033145,-0.004638,,-171.169931,91.39213,-159.739207,,
,-0.178195,,,0.114964,,-0.004426,0.011043,245.887212,,97.247939,,1e-06,3e-06
0.995542,,0.285786,,0.173776,0.079421,-0.005937,,247.005605,,79.490811,,1e-06,5e-06
0.99908,0.031912,-0.32406,0.93952,,0.005975,,-0.004054,245.767958,-165.94261,52.893166,-173.335635,1e-06,
0.999417,0.056854,-0.415154,0.905925,0.090452,0.000431,0.005117,-0.004332,,-160.788685,57.082585,,1e-06,7e-06
0.993764,0.243771,,0.868229,0.02867,,0.000195,-0.001113,250.480827,,,-173.142385,1e-06,
,,,0.727122,0.352565,0.047636,0.047143,0.045145,247.241507,-157.145206,,-177.782282,0.0,
,-0.235915,0.943567,,0.272088,,,-0.0049,261.117523,,,-158.493788,2e-06,9e-06
0.996186,0.4417,,0.871942,0.078623,-0.001562,,-0.011508,,-184.285128,70.939962,,,0.001162
1.012431,,,0.213723,0.859694,0.024069,0.023724,-0.104669,271.017285,-176.888287,,-173.048567,9e-06,9e-06
1.001256,-0.201709,0.959337,0.033288,0.495367,0.00485,0.061796,,,-167.68784,128.841128,-188.162506,,
,,0.944833,0.271349,0.055712,-0.010289,,-0.002818,289.872547,,,-201.562771,0.000212,0.001555
0.991297,-0.219221,0.949668,0.05622,,-0.006482,,0.009329,288.213548,-171.402571,121.370512,,4e-06,7e-06
,-0.223489,0.962395,0.00303,0.105482,-0.00623,,0.006673,304.910479,,118.972813,-219.16089,,6e-06
0.990911,0.045993,0.934162,0.30591,0.055347,-0.011044,-0.001281,-0.002974,,-169.600898,,,8.7e-05,0.000313
1.001361,-0.231561,0.876872,0.176121,,0.031006,-0.100529,-0.019663,298.477469,-187.959512,,-198.653188,7e-06,4e-06
,0.142851,0.659104,0.69751,0.164351,0.00278,-0.003363,0.008035,276.492743,-178.644248,97.462366,,1e-05,8e-06
1.028397,,-0.341609,0.675126,,-0.101628,0.00895,-0.078807,,,,-167.419324,0.000555,
,0.586817,,0.791251,,-0.002983,,-0.017395,246.541709,-174.984672,69.50292,-159.144477,0.0,
0.997751,0.212646,0.965026,0.020016,0.242579,,-0.044893,-0.003212,234.233129,-170.088068,,,1e-06,
,0.235003,0.958025,,0.151242,,,2.7e-05,245.33805,-163.780601,,,2e-06,3e-06
0.996148,0.619137,,0.778839,,0.005545,-0.001588,0.004513,260.298648,-165.066132,76.721808,-186.055674,7.8e-05,0.000111
,,,-0.006831,,0.08562,,0.049311,290.04397,,101.089927,-190.45302,0.000259,
1.075048,0.316179,0.452268,0.396455,1.501643,-0.160486,,,278.61316,-181.835539,,-183.060178,,
1.034885,0.371057,0.41312,,0.822552,-0.022667,-0.0671,-0.098485,,,80.62902,,,0.000372
,0.270684,0.952161,-0.010495,0.058754,,,,,-178.99514,96.521319,-180.47386,8.5e-05,
0.994956,,0.947685,,,,-0.025601,-0.005801,277.334889,-186.378461,98.042981,-180.448274,,
1.068561,0.346137,0.060534,0.491677,,0.082086,,-0.065996,267.14482,-193.741179,81.331555,-163.426163,3.9e-05,5.8e-05
1.062733,,,0.037815,,,,0.068481,285.885325,-178.028954,116.808723,-190.016593,0.000335,0.002678
,0.299477,0.299199,,,0.04663,0.051613,,282.942028,,96.839761,,0.000641,0.002554
1.005277,,0.816497,-0.103033,0.461778,,-0.038948,-0.004754,295.471519,-164.734126,106.27155,,,0.000924
,0.633473,,0.009971,,,,-0.000812,,,105.340946,,,6e-06
0.995661,0.567024,0.510231,0.623204,,-0.01239,,-0.013091,274.368504,-179.864536,,-177.624187,,0.008258
,,,,,,0.176515,0.052409,270.766882,,100.529349,-178.85338,0.000102,
0.999637,0.530125,,,0.507488,0.097326,0.177419,,,-163.423271,110.622322,-183.05165,4e-06,
1.004445,0.484243,0.843583,-0.097644,0.41732,-0.107594,-0.192878,,265.754439,-171.369521,122.840805,-161.075947,2e-06,5e-06
,0.523492,0.791164,,0.288919,-0.014337,,0.00462,,-172.920313,122.09564,,,0.001352
0.991626,0.595015,0.743391,0.198588,0.320429,-0.007802,0.02535,,278.555323,-157.522495,101.181794,-206.222846,,
,0.496451,0.838005,-0.163252,0.125642,,0.01269,0.001445,290.84215,,96.418368,,5e-06,4e-06
0.994867,,0.853578,-0.093368,0.240779,-0.002575,0.00402,-0.001005,,,,,,1.9e-05
1.096374,0.567448,0.835369,0.00891,1.459935,0.073254,0.111631,0.048353,,-169.099133,102.138401,-179.026661,5.5e-05,
1.030718,0.046787,-0.342282,-0.745265,0.759333,-0.001801,-0.03032,-0.235486,303.137329,-191.680468,53.667958,,,9.3e-05
0.992789,0.035334,0.900098,-0.276287,0.24462,0.028019,,0.009132,303.686619,-168.654456,105.421303,-228.517652,,
,,-0.065087,,0.095719,0.007021,0.002469,-0.001783,261.912375,,49.845153,-207.9049,0.000388,
,,-0.11294,-0.794427,,-0.004425,0.007149,,,,51.315873,-204.871545,4e-06,4e-06
1.000996,0.643874,,,0.021037,0.001965,-0.001864,-0.001583,256.330399,-146.976856,49.91677,,2e-06,3e-06
1.000137,0.063337,0.914483,-0.246182,,0.010365,,0.009915,296.427291,-165.819636,,-214.488957,8.4e-05,
1.000576,0.659809,-0.054789,-0.74992,0.033304,,-0.002658,,263.718081,,50.829682,-208.398949,6e-06,4e-06
,,-0.054564,-0.750974,0.042742,,0.001206,0.001878,261.86453,-151.730312,50.739308,-207.303512,0.0,
1.078911,,0.986984,-0.051907,1.512264,,-0.142085,,296.974354,-184.044762,113.887107,-201.763718,,0.001974
1.003861,0.500429,-0.166648,,,-0.00606,0.003883,0.010675,272.038416,-162.646158,44.669499,-213.41786,0.0,2e-06
,0.443704,-0.246216,,0.0599,-0.0019,0.00201,,,,42.007283,-209.391831,,5e-06
1.005503,0.474584,-0.224241,-0.855996,0.099358,0.000235,-0.003383,-0.003256,267.907578,-161.421149,42.166718,-209.613996,1e-06,0.0
,0.280424,,-0.803707,0.661785,,,-0.045871,279.966776,-165.600088,,,4e-06,3e-06
1.043244,,-0.420554,-0.452631,1.09588,,-0.089451,,,,38.329844,-197.411722,,7.1e-05
,0.119439,0.758463,0.210428,,-0.075836,-0.19518,-0.068493,276.166346,,,,0.001845,
